date,workload,energy_kwh,baseline_region,baseline_carbon_g,carbon_aware_region,carbon_aware_carbon_g,carbon_saving_g,carbon_saving_pct
2020-10-04,836886.0,418.443,west_europe,104610.75,north_europe,41844.3,62766.45,60.0
2020-10-05,955745.0,477.8725,west_europe,119468.125,north_europe,47787.25,71680.875,60.0
2020-10-06,1052060.0,526.03,west_europe,131507.5,north_europe,52603.0,78904.5,60.0
2020-10-07,1089394.0,544.697,west_europe,136174.25,north_europe,54469.7,81704.55,60.0
2020-10-08,1067193.0,533.5965,west_europe,133399.125,north_europe,53359.65,80039.475,60.00000000000001
2020-10-09,1048164.0,524.082,west_europe,131020.5,north_europe,52408.2,78612.3,60.0
2020-10-10,948544.0,474.272,west_europe,118568.0,north_europe,47427.2,71140.8,60.0
2020-10-11,970238.0,485.119,west_europe,121279.75,north_europe,48511.9,72767.85,60.00000000000001
2020-10-12,912094.0,456.047,west_europe,114011.75,north_europe,45604.7,68407.05,60.0
2020-10-13,1013636.0,506.818,west_europe,126704.5,north_europe,50681.8,76022.7,60.0
2020-10-14,1191017.0,595.5085,west_europe,148877.125,north_europe,59550.850000000006,89326.275,60.0
2020-10-15,1156981.0,578.4905,west_europe,144622.625,north_europe,57849.05,86773.575,60.0
2020-10-16,1149557.0,574.7785,west_europe,143694.625,north_europe,57477.85,86216.775,60.0
2020-10-17,959119.0,479.5595,west_europe,119889.875,north_europe,47955.95,71933.925,60.0
2020-10-18,1042522.0,521.261,west_europe,130315.25,north_europe,52126.1,78189.15,60.0
2020-10-19,1068864.0,534.432,west_europe,133608.0,north_europe,53443.2,80164.8,60.0
2020-10-20,1151470.0,575.735,west_europe,143933.75,north_europe,57573.5,86360.25,60.0
2020-10-21,1166120.0,583.0600000000001,west_europe,145765.00000000003,north_europe,58306.00000000001,87459.00000000003,60.00000000000001
2020-10-22,858927.0,429.4635,west_europe,107365.875,north_europe,42946.35,64419.525,60.0
2020-10-23,1315400.0,657.7,west_europe,164425.0,north_europe,65770.0,98655.0,60.0
2020-10-24,1195227.0,597.6135,west_europe,149403.375,north_europe,59761.350000000006,89642.025,60.0
2020-10-25,1134774.0,567.3870000000001,west_europe,141846.75,north_europe,56738.7,85108.05,60.0
2020-10-26,1236758.0,618.379,west_europe,154594.75,north_europe,61837.9,92756.85,60.00000000000001
2020-10-27,1372745.0,686.3725000000001,west_europe,171593.12500000003,north_europe,68637.25,102955.87500000003,60.00000000000001
2020-10-28,1456346.0,728.173,west_europe,182043.25,north_europe,72817.3,109225.95,60.0
2020-10-29,1399570.0,699.785,west_europe,174946.25,north_europe,69978.5,104967.75,60.0
2020-10-30,1578002.0,789.001,west_europe,197250.25,north_europe,78900.09999999999,118350.15000000001,60.00000000000001
2020-10-31,1280784.0,640.392,west_europe,160098.0,north_europe,64039.2,96058.8,60.0
2020-11-01,1194390.0,597.195,west_europe,149298.75,north_europe,59719.50000000001,89579.25,60.0
2020-11-02,1243006.0,621.503,west_europe,155375.75,north_europe,62150.3,93225.45,60.0
2020-11-03,1401919.0,700.9595,west_europe,175239.875,north_europe,70095.95000000001,105143.92499999999,60.0
2020-11-04,1647364.0,823.682,west_europe,205920.5,north_europe,82368.2,123552.3,60.0
2020-11-05,1935626.0,967.813,west_europe,241953.25,north_europe,96781.3,145171.95,60.00000000000001
2020-11-06,1698599.0,849.2995,west_europe,212324.875,north_europe,84929.95,127394.925,60.0
2020-11-07,1341755.0,670.8775,west_europe,167719.375,north_europe,67087.75,100631.625,60.0
2020-11-08,1487485.0,743.7425000000001,west_europe,185935.62500000003,north_europe,74374.25,111561.37500000003,60.00000000000001
