date,workload
2022-01-12,10624957.0
2022-01-13,8534970.0
2022-01-14,3991287.0
2022-01-15,6589923.0
2022-01-16,4158542.0
2022-01-17,9252033.0
2022-01-18,11017657.0
2022-01-19,10788100.0
2022-01-20,19187923.0
2022-01-21,7297245.0
2022-01-22,6171119.0
2022-01-23,4682698.0
2022-01-24,9249361.0
2022-01-25,6667134.0
2022-01-26,11067084.0
2022-01-27,5745859.0
2022-01-28,10806420.0
2022-01-29,10031381.0
2022-01-30,5311060.0
2022-01-31,6965189.0
2022-02-01,5261732.0
2022-02-02,9789840.0
2022-02-03,15088741.0
2022-02-04,6601872.0
2022-02-05,5431387.0
2022-02-06,3504679.0
2022-02-07,7039449.0
2022-02-08,9421684.0
2022-02-09,5604851.0
2022-02-10,3620800.0
2022-02-11,7355625.0
2022-02-12,6236016.0
2022-02-13,4690436.0
2022-02-14,4998049.0
2022-02-15,5510393.0
2022-02-16,9708044.0
2022-02-17,4878700.0
2022-02-18,2529168.0
2022-02-19,4051661.0
2022-02-20,10977202.0
2022-02-21,4124134.0
2022-02-22,2585327.0
2022-02-23,5535759.0
2022-02-24,5577994.0
2022-02-25,4657829.0
2022-02-26,5737656.0
2022-02-27,2998115.0
2022-02-28,1580008.0
2022-03-01,3819030.0
2022-03-02,5224776.0
2022-03-03,3840514.0
2022-03-04,2391371.0
2022-03-05,9254267.0
2022-03-06,2475365.0
2022-03-07,1954380.0
2022-03-08,4871018.0
2022-03-09,2766886.0
2022-03-10,2697334.0
2022-03-11,5389304.0
2022-03-12,7341713.0
2022-03-13,3691525.0
2022-03-14,3621998.0
2022-03-15,2337632.0
2022-03-16,5488965.0
2022-03-17,7123949.0
2022-03-18,5697329.0
2022-03-19,5064156.0
2022-03-20,4476606.0
2022-03-21,4000122.0
2022-03-22,4708515.0
2022-03-23,2732694.0
2022-03-24,5175637.0
2022-03-25,4839019.0
2022-03-26,1915514.0
2022-03-27,2780497.0
2022-03-28,2254340.0
2022-03-29,5116859.0
2022-03-30,7457100.0
2022-03-31,7422488.0
2022-04-01,3757477.0
2022-04-02,3278369.0
2022-04-03,2378281.0
2022-04-04,4242023.0
2022-04-05,3813480.0
2022-04-06,4301156.0
2022-04-07,3611129.0
2022-04-08,2454117.0
2022-04-09,1135840.0
2022-04-10,2215351.0
2022-04-11,2417579.0
2022-04-12,4698172.0
2022-04-13,3056426.0
2022-04-14,2312784.0
2022-04-15,949383.0
2022-04-16,1729357.0
2022-04-17,1557480.0
2022-04-18,848876.0
2022-04-19,2059101.0
2022-04-20,1359599.0
2022-04-21,3155087.0
2022-04-22,1349389.0
2022-04-23,777537.0
2022-04-24,1361177.0
2022-04-25,1062200.0
2022-04-26,3368651.0
2022-04-27,2289163.0
2022-04-28,1117792.0
2022-04-29,1584681.0
2022-04-30,643860.0
2022-05-01,1233081.0
2022-05-02,1731138.0
2022-05-03,952268.0
2022-05-04,1998120.0
2022-05-05,1892695.0
2022-05-06,901122.0
2022-05-07,1618305.0
2022-05-08,892099.0
2022-05-09,1152084.0
2022-05-10,1492403.0
2022-05-11,3025177.0
2022-05-12,2143588.0
2022-05-13,1918461.0
2022-05-14,1369535.0
2022-05-15,605457.0
2022-05-16,1482623.0
2022-05-17,1905589.0
2022-05-18,2071843.0
2022-05-19,2026770.0
2022-05-20,1924539.0
2022-05-21,2207423.0
2022-05-22,1047517.0
2022-05-23,2098982.0
2022-05-24,1815518.0
2022-05-25,1042057.0
